x,y_exact
3.06306306306306286e-01,3.06306529480035228e-01
3.07307307307307320e-01,3.07307519586100197e-01
3.08308308308308299e-01,3.08308510224036159e-01
3.09309309309309333e-01,3.09309501367878159e-01
3.10310310310310311e-01,3.10310492992928677e-01
3.11311311311311290e-01,3.11311485075696115e-01
3.12312312312312323e-01,3.12312477593835569e-01
3.13313313313313302e-01,3.13313470526092819e-01
3.14314314314314336e-01,3.14314463852251536e-01
3.15315315315315314e-01,3.15315457553082101e-01
3.16316316316316293e-01,3.16316451610293703e-01
3.17317317317317327e-01,3.17317446006488535e-01
3.18318318318318305e-01,3.18318440725117946e-01
3.19319319319319339e-01,3.19319435750441361e-01
3.20320320320320318e-01,3.20320431067486477e-01
3.21321321321321296e-01,3.21321426662012022e-01
3.22322322322322330e-01,3.22322422520471885e-01
3.23323323323323308e-01,3.23323418629981207e-01
3.24324324324324342e-01,3.24324414978284348e-01
3.25325325325325321e-01,3.25325411553723687e-01
3.26326326326326299e-01,3.26326408345210872e-01
3.27327327327327333e-01,3.27327405342198952e-01
3.28328328328328312e-01,3.28328402534655617e-01
3.29329329329329346e-01,3.29329399913038556e-01
3.30330330330330324e-01,3.30330397468271086e-01
3.31331331331331302e-01,3.31331395191719780e-01
3.32332332332332336e-01,3.32332393075172650e-01
3.33333333333333315e-01,3.33333391110818500e-01
3.34334334334334349e-01,3.34334389291227663e-01
3.35335335335335327e-01,3.35335387609332958e-01
3.36336336336336306e-01,3.36336386058412318e-01
3.37337337337337340e-01,3.37337384632071913e-01
3.38338338338338318e-01,3.38338383324229885e-01
3.39339339339339352e-01,3.39339382129101419e-01
3.40340340340340330e-01,3.40340381041183970e-01
3.41341341341341364e-01,3.41341380055243726e-01
3.42342342342342343e-01,3.42342379166302335e-01
3.43343343343343321e-01,3.43343378369624475e-01
3.44344344344344355e-01,3.44344377660706080e-01
3.45345345345345334e-01,3.45345377035262802e-01
3.46346346346346368e-01,3.46346376489219621e-01
3.47347347347347346e-01,3.47347376018700305e-01
3.48348348348348325e-01,3.48348375620017914e-01
3.49349349349349358e-01,3.49349375289665587e-01
3.50350350350350337e-01,3.50350375024307437e-01
3.51351351351351371e-01,3.51351374820770723e-01
3.52352352352352349e-01,3.52352374676037305e-01
3.53353353353353328e-01,3.53353374587236535e-01
3.54354354354354362e-01,3.54354374551637930e-01
3.55355355355355340e-01,3.55355374566644233e-01
3.56356356356356374e-01,3.56356374629785033e-01
3.57357357357357353e-01,3.57357374738710432e-01
3.58358358358358331e-01,3.58358374891185327e-01
3.59359359359359365e-01,3.59359375085083754e-01
3.60360360360360343e-01,3.60360375318383441e-01
3.61361361361361377e-01,3.61361375589160982e-01
3.62362362362362356e-01,3.62362375895586619e-01
3.63363363363363334e-01,3.63363376235920188e-01
3.64364364364364368e-01,3.64364376608506346e-01
3.65365365365365347e-01,3.65365377011770576e-01
3.66366366366366381e-01,3.66366377444215241e-01
3.67367367367367359e-01,3.67367377904415759e-01
3.68368368368368393e-01,3.68368378391017270e-01
3.69369369369369371e-01,3.69369378902730749e-01
3.70370370370370350e-01,3.70370379438330344e-01
3.71371371371371384e-01,3.71371379996650042e-01
3.72372372372372362e-01,3.72372380576580564e-01
3.73373373373373396e-01,3.73373381177067087e-01
3.74374374374374375e-01,3.74374381797105915e-01
3.75375375375375353e-01,3.75375382435742588e-01
3.76376376376376387e-01,3.76376383092069333e-01
3.77377377377377365e-01,3.77377383765222396e-01
3.78378378378378399e-01,3.78378384454380434e-01
3.79379379379379378e-01,3.79379385158762017e-01
3.80380380380380356e-01,3.80380385877624017e-01
3.81381381381381390e-01,3.81381386610259610e-01
3.82382382382382369e-01,3.82382387355996278e-01
3.83383383383383403e-01,3.83383388114194479e-01
3.84384384384384381e-01,3.84384388884245864e-01
3.85385385385385359e-01,3.85385389665571787e-01
3.86386386386386393e-01,3.86386390457621909e-01
3.87387387387387372e-01,3.87387391259872538e-01
3.88388388388388406e-01,3.88388392071825905e-01
3.89389389389389384e-01,3.89389392893008168e-01
3.90390390390390363e-01,3.90390393722968798e-01
3.91391391391391397e-01,3.91391394561279415e-01
3.92392392392392375e-01,3.92392395407532235e-01
3.93393393393393409e-01,3.93393396261339623e-01
3.94394394394394388e-01,3.94394397122332652e-01
3.95395395395395366e-01,3.95395397990160657e-01
3.96396396396396400e-01,3.96396398864489963e-01
3.97397397397397378e-01,3.97397399745003099e-01
3.98398398398398412e-01,3.98398400631398308e-01
3.99399399399399391e-01,3.99399401523388264e-01
4.00400400400400369e-01,4.00400402420699963e-01
4.01401401401401403e-01,4.01401403323073669e-01
4.02402402402402382e-01,4.02402404230262078e-01
4.03403403403403416e-01,4.03403405142030325e-01
4.04404404404404394e-01,4.04404406058154697e-01
4.05405405405405428e-01,4.05405406978422644e-01
4.06406406406406406e-01,4.06406407902631772e-01
4.07407407407407385e-01,4.07407408830589735e-01
4.08408408408408419e-01,4.08408409762113622e-01
4.09409409409409397e-01,4.09409410697029130e-01
4.10410410410410431e-01,4.10410411635170946e-01
4.11411411411411410e-01,4.11411412576381308e-01
4.12412412412412388e-01,4.12412413520510612e-01
4.13413413413413422e-01,4.13413414467416307e-01
4.14414414414414400e-01,4.14414415416962778e-01
4.15415415415415434e-01,4.15415416369021184e-01
4.16416416416416413e-01,4.16416417323468901e-01
4.17417417417417391e-01,4.17417418280189190e-01
4.18418418418418425e-01,4.18418419239071304e-01
4.19419419419419404e-01,4.19419420200009496e-01
4.20420420420420438e-01,4.20420421162903513e-01
4.21421421421421416e-01,4.21421422127657819e-01
4.22422422422422394e-01,4.22422423094181654e-01
4.23423423423423428e-01,4.23423424062388587e-01
4.24424424424424407e-01,4.24424425032196462e-01
4.25425425425425441e-01,4.25425426003527174e-01
4.26426426426426419e-01,4.26426426976306283e-01
4.27427427427427398e-01,4.27427427950463124e-01
4.28428428428428432e-01,4.28428428925930471e-01
4.29429429429429410e-01,4.29429429902644322e-01
4.30430430430430444e-01,4.30430430880543891e-01
4.31431431431431422e-01,4.31431431859571113e-01
4.32432432432432456e-01,4.32432432839671144e-01
4.33433433433433435e-01,4.33433433820791469e-01
4.34434434434434413e-01,4.34434434802882352e-01
4.35435435435435447e-01,4.35435435785896441e-01
4.36436436436436426e-01,4.36436436769788549e-01
4.37437437437437460e-01,4.37437437754515934e-01
4.38438438438438438e-01,4.38438438740037684e-01
4.39439439439439417e-01,4.39439439726315162e-01
4.40440440440440450e-01,4.40440440713311454e-01
4.41441441441441429e-01,4.41441441700991366e-01
4.42442442442442463e-01,4.42442442689321647e-01
4.43443443443443441e-01,4.43443443678270433e-01
4.44444444444444420e-01,4.44444444667807581e-01
4.45445445445445454e-01,4.45445445657904393e-01
4.46446446446446432e-01,4.46446446648533557e-01
4.47447447447447466e-01,4.47447447639669038e-01
4.48448448448448445e-01,4.48448448631286134e-01
4.49449449449449423e-01,4.49449449623361308e-01
4.50450450450450457e-01,4.50450450615872244e-01
4.51451451451451435e-01,4.51451451608797627e-01
4.52452452452452469e-01,4.52452452602117305e-01
4.53453453453453448e-01,4.53453453595811962e-01
4.54454454454454426e-01,4.54454454589863222e-01
4.55455455455455460e-01,4.55455455584253877e-01
4.56456456456456439e-01,4.56456456578967107e-01
4.57457457457457473e-01,4.57457457573987425e-01
4.58458458458458451e-01,4.58458458569299621e-01
4.59459459459459429e-01,4.59459459564889539e-01
4.60460460460460463e-01,4.60460460560743634e-01
4.61461461461461442e-01,4.61461461556848973e-01
4.62462462462462476e-01,4.62462462553193399e-01
4.63463463463463454e-01,4.63463463549765031e-01
4.64464464464464433e-01,4.64464464546552935e-01
4.65465465465465467e-01,4.65465465543546564e-01
4.66466466466466445e-01,4.66466466540735758e-01
4.67467467467467479e-01,4.67467467538111081e-01
4.68468468468468457e-01,4.68468468535663374e-01
4.69469469469469491e-01,4.69469469533384087e-01
4.70470470470470470e-01,4.70470470531264839e-01
4.71471471471471448e-01,4.71471471529297970e-01
4.72472472472472482e-01,4.72472472527476040e-01
4.73473473473473461e-01,4.73473473525791833e-01
4.74474474474474495e-01,4.74474474524238798e-01
4.75475475475475473e-01,4.75475475522810331e-01
4.76476476476476452e-01,4.76476476521500547e-01
4.77477477477477485e-01,4.77477477520303561e-01
4.78478478478478464e-01,4.78478478519213879e-01
4.79479479479479498e-01,4.79479479518226281e-01
4.80480480480480476e-01,4.80480480517335717e-01
4.81481481481481455e-01,4.81481481516537468e-01
4.82482482482482489e-01,4.82482482515827149e-01
4.83483483483483467e-01,4.83483483515200263e-01
4.84484484484484501e-01,4.84484484514652980e-01
4.85485485485485480e-01,4.85485485514181192e-01
4.86486486486486458e-01,4.86486486513781291e-01
4.87487487487487492e-01,4.87487487513449835e-01
4.88488488488488470e-01,4.88488488513183383e-01
4.89489489489489504e-01,4.89489489512978826e-01
4.90490490490490483e-01,4.90490490512833111e-01
4.91491491491491461e-01,4.91491491512743350e-01
4.92492492492492495e-01,4.92492492512706936e-01
4.93493493493493474e-01,4.93493493512721093e-01
4.94494494494494508e-01,4.94494494512783433e-01
4.95495495495495486e-01,4.95495495512891571e-01
4.96496496496496520e-01,4.96496496513043395e-01
4.97497497497497498e-01,4.97497497513236575e-01
4.98498498498498477e-01,4.98498498513469168e-01
4.99499499499499511e-01,4.99499499513739398e-01
5.00500500500500545e-01,5.00500500514045266e-01
5.01501501501501523e-01,5.01501501514384995e-01
5.02502502502502502e-01,5.02502502514757032e-01
5.03503503503503480e-01,5.03503503515159823e-01
5.04504504504504458e-01,5.04504504515591701e-01
5.05505505505505548e-01,5.05505505516051556e-01
5.06506506506506526e-01,5.06506506516537724e-01
5.07507507507507505e-01,5.07507507517048984e-01
5.08508508508508483e-01,5.08508508517584112e-01
5.09509509509509462e-01,5.09509509518142112e-01
5.10510510510510551e-01,5.10510510518721761e-01
5.11511511511511530e-01,5.11511511519321838e-01
5.12512512512512508e-01,5.12512512519941565e-01
5.13513513513513487e-01,5.13513513520579834e-01
5.14514514514514465e-01,5.14514514521235866e-01
5.15515515515515554e-01,5.15515515521908774e-01
5.16516516516516533e-01,5.16516516522597668e-01
5.17517517517517511e-01,5.17517517523301773e-01
5.18518518518518490e-01,5.18518518524020422e-01
5.19519519519519468e-01,5.19519519524752837e-01
5.20520520520520558e-01,5.20520520525498354e-01
5.21521521521521536e-01,5.21521521526256415e-01
5.22522522522522515e-01,5.22522522527026245e-01
5.23523523523523493e-01,5.23523523527807289e-01
5.24524524524524471e-01,5.24524524528599212e-01
5.25525525525525561e-01,5.25525525529401349e-01
5.26526526526526539e-01,5.26526526530213146e-01
5.27527527527527518e-01,5.27527527531034157e-01
5.28528528528528496e-01,5.28528528531863939e-01
5.29529529529529475e-01,5.29529529532702048e-01
5.30530530530530564e-01,5.30530530533548261e-01
5.31531531531531543e-01,5.31531531534401913e-01
5.32532532532532521e-01,5.32532532535262781e-01
5.33533533533533499e-01,5.33533533536130422e-01
5.34534534534534478e-01,5.34534534537004613e-01
5.35535535535535567e-01,5.35535535537885132e-01
5.36536536536536546e-01,5.36536536538771425e-01
5.37537537537537524e-01,5.37537537539663268e-01
5.38538538538538503e-01,5.38538538540560552e-01
5.39539539539539481e-01,5.39539539541462831e-01
5.40540540540540571e-01,5.40540540542369996e-01
5.41541541541541549e-01,5.41541541543281602e-01
5.42542542542542527e-01,5.42542542544197648e-01
5.43543543543543506e-01,5.43543543545117913e-01
5.44544544544544484e-01,5.44544544546041953e-01
5.45545545545545574e-01,5.45545545546969990e-01
5.46546546546546552e-01,5.46546546547901357e-01
5.47547547547547531e-01,5.47547547548836278e-01
5.48548548548548509e-01,5.48548548549774306e-01
5.49549549549549599e-01,5.49549549550715555e-01
5.50550550550550577e-01,5.50550550551659579e-01
5.51551551551551555e-01,5.51551551552606489e-01
5.52552552552552534e-01,5.52552552553555953e-01
5.53553553553553512e-01,5.53553553554507971e-01
5.54554554554554602e-01,5.54554554555462431e-01
5.55555555555555580e-01,5.55555555556419112e-01
5.56556556556556559e-01,5.56556556557377902e-01
5.57557557557557537e-01,5.57557557558338801e-01
5.58558558558558516e-01,5.58558558559301588e-01
5.59559559559559605e-01,5.59559559560266484e-01
5.60560560560560583e-01,5.60560560561232935e-01
5.61561561561561562e-01,5.61561561562201050e-01
5.62562562562562540e-01,5.62562562563170832e-01
5.63563563563563519e-01,5.63563563564142056e-01
5.64564564564564608e-01,5.64564564565114946e-01
5.65565565565565587e-01,5.65565565566089057e-01
5.66566566566566565e-01,5.66566566567064500e-01
5.67567567567567544e-01,5.67567567568041165e-01
5.68568568568568522e-01,5.68568568569019051e-01
5.69569569569569611e-01,5.69569569569998158e-01
5.70570570570570590e-01,5.70570570570978153e-01
5.71571571571571568e-01,5.71571571571959258e-01
5.72572572572572547e-01,5.72572572572941363e-01
5.73573573573573525e-01,5.73573573573924245e-01
5.74574574574574615e-01,5.74574574574908237e-01
5.75575575575575593e-01,5.75575575575892895e-01
5.76576576576576572e-01,5.76576576576878441e-01
5.77577577577577550e-01,5.77577577577864654e-01
5.78578578578578528e-01,5.78578578578851643e-01
5.79579579579579618e-01,5.79579579579839410e-01
5.80580580580580596e-01,5.80580580580827732e-01
5.81581581581581575e-01,5.81581581581816609e-01
