time_ps,mem_init,accepted,x_hex,y_hex,h_hex,x,y,err,h,time_ns
57950,1,1,3fc3332c,3fc3332c,3ccccccd,1.5249991416931152,1.5249991416931152,nan,0.02500000037252903,57.95
58900,1,1,3fc6665f,3fc6665f,3ccccccd,1.5499991178512573,1.5499991178512573,nan,0.02500000037252903,58.9
59850,1,1,3fc99992,3fc99992,3ccccccd,1.5749990940093994,1.5749990940093994,nan,0.02500000037252903,59.85
60800,1,1,3fccccc5,3fccccc5,3ccccccd,1.5999990701675415,1.5999990701675415,nan,0.02500000037252903,60.8
61750,1,1,3fcffff8,3fcffff8,3ccccccd,1.6249990463256836,1.6249990463256836,nan,0.02500000037252903,61.75
62700,1,1,3fd3332b,3fd3332b,3ccccccd,1.6499990224838257,1.6499990224838257,nan,0.02500000037252903,62.7
63650,1,1,3fd6665e,3fd6665e,3ccccccd,1.6749989986419678,1.6749989986419678,nan,0.02500000037252903,63.65
64600,1,1,3fd99991,3fd99991,3ccccccd,1.6999989748001099,1.6999989748001099,nan,0.02500000037252903,64.6
65550,1,1,3fdcccc4,3fdcccc4,3ccccccd,1.724998950958252,1.724998950958252,nan,0.02500000037252903,65.55
66500,1,1,3fdffff7,3fdffff7,3ccccccd,1.749998927116394,1.749998927116394,nan,0.02500000037252903,66.5
67450,1,1,3fe3332a,3fe3332a,3ccccccd,1.7749989032745361,1.7749989032745361,nan,0.02500000037252903,67.45
68400,1,1,3fe6665d,3fe6665d,3ccccccd,1.7999988794326782,1.7999988794326782,nan,0.02500000037252903,68.4
69350,1,1,3fe99990,3fe99990,3ccccccd,1.8249988555908203,1.8249988555908203,nan,0.02500000037252903,69.35
70300,1,1,3fecccc3,3fecccc3,3ccccccd,1.8499988317489624,1.8499988317489624,nan,0.02500000037252903,70.3
71250,1,1,3feffff6,3feffff6,3ccccccd,1.8749988079071045,1.8749988079071045,nan,0.02500000037252903,71.25
72200,1,1,3ff33329,3ff33329,3ccccccd,1.8999987840652466,1.8999987840652466,nan,0.02500000037252903,72.2
73150,1,1,3ff6665c,3ff6665c,3ccccccd,1.9249987602233887,1.9249987602233887,nan,0.02500000037252903,73.15
74100,1,1,3ff9998f,3ff9998f,3ccccccd,1.9499987363815308,1.9499987363815308,nan,0.02500000037252903,74.1
75050,1,1,3ffcccc2,3ffcccc2,3ccccccd,1.9749987125396729,1.9749987125396729,nan,0.02500000037252903,75.05
76000,1,1,3ffffff5,3ffffff5,3ccccccd,1.999998688697815,1.999998688697815,nan,0.02500000037252903,76.0
76950,1,1,40019994,40019994,3ccccccd,2.024998664855957,2.024998664855957,nan,0.02500000037252903,76.95
